perc,sel_perc,val,count
2,2,438.37,44151
4,4,354.98,88498
6,6,315.31,132288
8,8,290.74,176638
10,10,273.65,221231
12,12,261.15,264260
14,14,250.74,308903
16,16,242.04,353737
18,18,234.83,396975
20,20,228.22,442234
22,22,222.69,484816
24,24,217.26,531230
26,26,212.49,576102
28,28,208.39,617973
30,30,204.46,661055
32,32,200.59,706343
34,34,197.01,751105
36,36,193.75,794402
38,38,190.35,842446
40,40,187.72,881650
42,42,184.7,929374
44,44,182.16,971660
46,46,179.66,1015273
48,48,177.16,1060908
50,50,174.76,1106798
52,52,172.81,1145580
54,54,170.48,1193533
56,56,168.57,1234498
58,58,166.36,1283557
60,60,164.53,1325465
62,62,162.82,1366008
64,64,160.83,1414173
66,66,159.24,1453789
68,68,157.48,1498242
70,70,155.59,1547226
72,72,154.02,1588599
74,74,152.46,1630102
76,76,150.77,1675695
78,78,149.11,1720688
80,80,147.42,1767175
82,82,145.85,1810646
84,84,144.29,1854053
86,86,142.82,1894941
88,88,141.16,1940774
90,90,139.56,1984633
92,92,138.02,2025996
94,94,136.27,2071566
96,96,134.54,2114758
98,98,132.69,2158368
100,100,130.67,2201461